time,state
7257,1
7261,1
7264,1
7267,1
7270,1
7273,1
7277,1
7280,1
7283,1
7286,1
7289,1
7292,1
7296,1
7299,1
7302,1
7305,1
7309,1
7312,1
7315,1
7318,1
7321,1
7324,1
7328,1
7331,1
7334,1
7337,1
7340,1
7344,0
7347,0
7350,0
7353,0
7356,0
7360,0
7363,0
7366,0
7369,0
7372,0
7383,0
7387,0
7390,0
7396,0
7399,0
7403,0
7406,0
7409,0
7412,0
7416,0
7419,0
7422,0
7425,0
7428,0
7432,0
7435,0
7438,0
7441,0
7444,0
7448,0
7451,0
7454,0
7457,0
7460,0
7463,0
7467,0
7470,0
7473,0
7476,0
7479,0
7483,0
7486,0
7489,0
7492,0
7495,0
7499,0
7502,0
7505,0
7508,0
7511,0
7515,0
7518,0
7521,0
7524,0
7527,0
7531,0
7534,0
7537,0
7540,0
7543,0
7547,0
7550,0
7553,0
7556,0
7559,0
7563,0
7566,0
7569,0
7572,0
7575,0
7579,0
7582,0
7585,0
7588,0
7591,1
7595,1
7598,1
7601,1
7604,1
7607,1
7611,1
7614,1
7617,1
7620,1
7623,1
7627,1
7630,1
7633,1
7636,1
7639,1
7643,1
7646,1
7649,1
7652,1
7655,1
7659,1
7662,1
7665,1
7668,1
7671,1
7675,1
7678,1
7681,1
7684,1
7687,1
7691,1
7694,1
7697,1
7700,1
7703,1
7707,1
7710,1
7713,1
7716,1
7719,1
7722,1
7726,1
7729,1
7732,1
7735,0
7738,0
7742,0
7745,0
7748,0
7751,0
7754,0
7758,0
7761,0
7764,0
7767,0
7770,0
7774,0
7777,0
7780,0
7783,0
7786,0
7790,0
7793,0
7796,0
7799,0
7802,0
7806,0
7809,0
7812,0
7815,0
7818,0
7822,0
7825,0
7828,0
7831,0
7834,0
7838,0
7841,0
7844,0
7847,0
7850,0
7853,0
7857,0
7860,0
7866,1
7894,1
7897,1
7900,1
7903,1
7907,1
7910,1
7913,1
7916,1
7919,1
7923,1
7926,1
7929,1
7932,1
7935,1
7939,1
7942,1
7945,1
7948,1
7951,1
7955,1
7958,1
7961,1
7964,1
7967,1
7971,1
7974,1
7977,1
7980,1
7984,1
7987,1
7990,1
7993,1
7996,1
7999,1
8003,1
8006,1
8009,1
8012,1
8015,1
8019,1
8022,1
8025,1
8028,1
8031,1
8035,1
8038,1
8041,1
8044,1
8047,1
8051,1
8054,1
8057,1
8060,1
8063,1
8067,1
8070,1
8073,1
8076,1
8079,1
8083,1
8086,1
8089,1
8092,1
8095,1
8099,1
8102,1
8105,1
8108,1
8111,1
8115,1
8118,1
8121,1
8124,1
8127,1
8131,1
8134,1
8137,1
8140,1
8143,1
8147,1
8150,1
8153,1
8156,1
8159,1
8163,1
8166,1
8169,1
8172,1
8175,1
8179,1
8182,1
8185,1
8188,1
8191,1
8195,1
8198,1
8201,1
8204,1
8207,1
8211,1
8214,1
8217,1
8220,1
8223,1
8227,1
8230,1
8233,1
8236,1
8239,1
8243,1
8246,1
8249,1
8252,1
8255,1
8259,1
8262,1
8265,1
8268,1
8271,1
8275,1
8278,1
8281,1
8284,1
8287,1
8291,1
8294,1
8297,1
8300,1
8303,1
8307,1
8310,1
8313,1
8316,1
8319,1
8323,1
8326,1
8329,1
8332,1
8336,1
8339,1
8342,1
8345,1
8348,1
8351,1
8358,1
8361,1
8364,1
8368,1
8371,1
8374,1
8377,1
8380,1
8384,1
8387,1
8390,1
8393,1
8396,1
8400,1
8403,1
8406,1
8409,1
8412,1
8416,1
8419,1
8422,1
8425,1
8428,1
8432,1
8435,1
8438,1
8441,1
8444,1
8448,1
8451,1
8454,1
8457,1
8460,1
8464,1
8467,1
8470,1
8473,1
8476,1
8480,1
8483,1
8486,1
8489,1
8492,1
8496,1
8499,1
8502,1
8505,1
8508,1
8512,1
8515,1
8518,1
8521,1
8524,1
8528,1
8531,1
8534,1
8537,1
8540,1
8544,1
8547,1
8550,1
8553,1
8556,1
8560,1
8563,1
8566,1
8569,1
8572,1
8576,1
8579,1
8582,1
